8	0	1
-2	4	-1		0	1	0
0	2	-2		0	2	0
-1	2	0		0	2	0
1	0	0		0	1	0
0	1	-1		0	1	0
-1	-1	0		0	0	0
0	0	0		0	0	0
0	1	-3		0	0	-1
2	3	0		0	1	-1
1	0	0		1	1	0
-2	2	-2		0	1	-1
2	2	-5		0	1	-2
-3	-1	-2		0	0	-2
1	4	-3		0	2	-2
0	-1	-3		0	0	-3
-3	4	0		-1	2	-2
5	0	0		1	1	-1
1	-8	-2		1	-1	-2
-1	0	-3		0	-1	-2
-1	-12	2		0	-5	0
2	-5	1		0	-5	0
4	16	-2		1	2	0
0	-16	4		1	-4	0
-1	17	-1		0	3	0
-2	-8	-4		0	0	-1
-1	-1	-1		0	0	-1
-2	-6	0		-1	-2	0
-2	-4	0		-1	-3	0
0	-2	-5		0	-3	-2
1	-1	2		0	-2	0
-1	-2	-1		0	-2	0
-2	1	4		-1	-1	0
-1	-2	-2		-1	-1	0
-2	1	-3		-1	0	-1
0	0	-2		-1	0	-1
0	0	-1		0	0	-1
4	0	4		0	0	0
0	1	-1		0	0	0
0	-1	-3		0	0	-1
3	4	-3		1	1	-1
-3	-3	0		0	0	-1
0	4	-1		0	1	-1
-1	-3	3		0	0	0
-2	6	1		0	2	0
0	-3	0		0	0	0
B(J	-1	J
1	-9	1		0	-3	1
2	9	-2		0	1	0
4	-6	0		1	-1	0
-1	4	-2		0	0	0
1	0	0		0	0	0
0	1	0		0	0	0
0	4	0		0	2	0
-2	-1	3		0	0	1
3	-1	-3		0	0	0
-3	1	-2		0	0	-1
-1	-5	0		-1	-1	0
2	-1	6		0	-1	1
0	5	3		0	0	2
0	-1	1		0	0	2
-1	0	1		0	0	2
-1	3	0		0	1	1
-2	0	-3		-1	0	0
-1	0	-4		-1	0	-1
-3	7	1		-2	2	0
0	-3	-1		-1	0	-1
0	5	1		-1	2	0
1	-3	-1		0	0	0
0	0	0		0	0	0
0	-1	0		0	0	0
3	1	0		1	0	0
0	-3	-1		0	0	0
0	5	-2		0	1	-1
-1	0	1		0	0	0
-3	1	0		-1	0	0
-1	1	-4		-1	1	-1
-2	3	-2		-1	1	-1
1	-3	-3		0	0	-2
0	0	1		0	0	-1
1	0	0		0	0	0
-3	-1	5		0	0	1
0	4	1		0	1	1
1	-1	0		0	0	1
-1	5	0		0	2	0
0	0	0		0	1	0
0	2	-1		0	1	0
-2	-2	0		0	0	0
-3	0	-1		-1	0	0
-2	-2	-2		-2	0	-1
0	2	4		-1	0	0
1	-5	5		0	-1	2
0	-4	14		0	-2	6
-2	18	-104		-1	4	-30
-137	-202	130		-46	-64	22
-5	-134	190		-33	-88	78
169	228	462		34	17	207
-9	-18	47		20	5	153
2	-172	14		14	-53	107
-3	-11	2		8	-39	72
2	-18	3		6	-32	49
4	-4	30		5	-23	43
2	-3	105		4	-16	63
1	33	-43		3	0	28
-6	61	202		0	20	86
-224	-309	227		-74	-89	133
-167	-265	194		-105	-148	153
-379	-207	529		-197	-168	279
-212	318	550		-202	-5	369
-77	183	461		-160	57	400
-54	241	480		-125	119	427
3	174	581		-82	137	478
-8	68	619		-57	114	525
-66	-8	539		-60	73	530
-131	-332	887		-84	-62	649
-98	-528	951		-89	-217	750
-83	-344	1037		-87	-260	846
-89	-174	703		-88	-231	798
-240	-260	1186		-138	-241	928
-265	-222	1326		-181	-234	1061
-59	-118	945		-140	-195	1022
-111	-35	1236		-130	-142	1093
-6	-51	1348		-89	-112	1179
88	-23	1129		-29	-82	1162
51	-148	991		-2	-104	1105
20	-122	894		4	-110	1034
-75	-44	1094		-22	-88	1054
11	-70	992		-10	-82	1033
90	-63	762		22	-76	943
4	-2	626		16	-51	837
-114	-82	700		-27	-61	791
-212	-50	1044		-89	-57	876
-127	-34	909		-102	-50	887
-139	164	815		-114	21	863
-185	113	821		-138	52	849
-260	31	930		-179	45	876
-252	-17	857		-203	24	870
-386	-31	924		-264	5	888
-338	260	922		-289	90	899
-245	220	740		-274	134	846
-201	178	604		-250	148	765
-134	130	504		-211	142	678
5	136	438		-139	140	598
111	214	327		-55	165	507
119	255	474		2	195	496
132	300	302		46	230	431
88	264	118		60	241	327
54	249	140		58	244	264
86	242	-1		67	243	175
76	227	-99		70	238	83
106	254	-309		82	243	-47
95	230	-369		86	239	-154
122	211	-419		98	230	-243
168	189	-596		121	216	-361
237	210	-901		160	214	-541
149	101	-970		156	176	-685
53	-52	-884		122	100	-751
116	-31	-1109		120	56	-871
-15	-118	-1040		75	-2	-927
-83	-155	-898		22	-53	-917
-8	-94	-990		11	-67	-942
58	46	-1148		27	-29	-1010
18	133	-1172		24	25	-1064
-31	-30	-945		5	6	-1025
-61	-193	-695		-16	-60	-915
55	-97	-925		7	-72	-918
120	-58	-1080		45	-67	-972
138	-141	-1162		76	-92	-1036
-28	-402	-1028		41	-196	-1033
-30	-382	-794		17	-258	-953
170	-133	-1095		68	-216	-1001
255	-71	-1253		130	-168	-1085
113	-616	-942		125	-317	-1037
77	-337	-675		109	-324	-916
233	-7	-1022		150	-218	-952
407	234	-1463		236	-67	-1122
122	219	-1089		198	28	-1111
-130	-230	-829		88	-58	-1017
-45	-100	-1175		43	-72	-1070
180	7	-1281		89	-45	-1141
207	91	-1075		128	0	-1119
96	15	-1096		118	5	-1111
81	-45	-1208		105	-11	-1143
101	-67	-985		104	-30	-1091
197	142	-1366		135	27	-1182
318	292	-1631		196	115	-1332
254	383	-1395		215	205	-1353
-105	241	-1151		108	217	-1286
