	9775	-20	1474	158		-874	-3826	-17429	-292	276	36	
	9764	-6	1515	159		-2233	-4307	-14408	-305	275	39	
	9755	-31	1549	162		-2047	-4672	-13915	-293	267	45	
	9744	4	1586	163		-2195	-4532	-14180	-292	272	30	
	9733	-12	1621	166		-2086	-4475	-14023	-291	265	43	
	9722	-24	1658	168		-1971	-4670	-14133	-297	275	29	
	9711	-28	1693	172		-2093	-4589	-13770	-289	265	41	
	9700	-23	1728	175		-2184	-4740	-14267	-291	267	49	
	9689	-9	1764	176		-1876	-4409	-14018	-294	266	36	
	9678	-29	1799	178		-2257	-4861	-13876	-295	271	47	
	9666	0	1834	179		-2053	-4508	-13945	-296	272	40	
	9654	-8	1869	181		-1948	-4554	-14286	-292	264	38	
	9642	-12	1900	185		-2708	-4097	-14941	-297	285	43	
	9630	-13	1934	188		-1998	-4649	-14074	-289	277	43	
	9618	-11	1968	190		-2207	-4782	-14048	-302	268	42	
	9606	-11	2001	192		-2118	-4624	-14084	-290	270	38	
	9593	-2	2037	193		-2007	-4714	-13872	-296	266	40	
	9579	-21	2074	194		-2144	-4527	-14204	-294	266	38	
	9566	-3	2107	196		-2162	-4571	-13897	-294	272	38	
	9553	0	2140	197		-1935	-4527	-14380	-296	270	40	
	9539	-25	2174	197		-2257	-4631	-14141	-295	279	41	
	9525	-30	2211	199		-2027	-4614	-14239	-302	262	46	
	9511	-7	2246	201		-2020	-4709	-13850	-295	273	35	
	9497	-13	2280	202		-2088	-4602	-14125	-294	270	46	
	9481	-15	2317	204		-2212	-4513	-13981	-301	269	45	
	9466	-24	2352	206		-1853	-4726	-13721	-289	265	31	
	9451	-22	2387	210		-1901	-4550	-14137	-293	271	43	
	9436	-30	2422	211		-2232	-4611	-14018	-294	272	42	
	9421	-38	2457	212		-1866	-4771	-14304	-292	274	36	
	9405	-45	2491	215		-2223	-4668	-13974	-301	269	41	
	9390	-3	2526	216		-2164	-4784	-14048	-295	279	35	
	9374	-34	2557	216		-1851	-4693	-14167	-295	271	43	
	9358	-6	2591	218		-2184	-4637	-13760	-296	274	46	
	9343	-3	2623	220		-2091	-4545	-14391	-296	268	42	
	9327	-24	2656	224		-2050	-4565	-14055	-291	271	37	
	9310	5	2690	226		-2128	-4724	-14251	-294	272	36	
	9293	0	2723	227		-2081	-4487	-13714	-293	261	41	
	9276	-44	2756	229		-2060	-4721	-14326	-297	271	43	
	9259	-19	2787	231		-2240	-4632	-14060	-289	271	39	
	9242	-17	2822	232		-2037	-4633	-14253	-291	273	39	
	9224	-19	2857	233		-2066	-4660	-14235	-292	276	44	
	9207	-13	2889	236		-2125	-4569	-14128	-296	270	44	
	9189	4	2922	239		-2139	-4730	-14321	-291	269	43	
