-33	&?	-2	-3
0	4	0
-2	2	0
-1	-1	0
-3	0	-4
0	-2	1
0	-3	-3
-2	1	-5
-2	0	-3
-1	0	0
1	0	1
0	-1	2
2	-1	-3
0	-3	-2
-2	2	1
0	0	-1
0	2	-4
-1	-4	0
0	-1	-3
0	2	0
0	0	1
1	-1	-2
4	-1	0
0	-1	4
-5	0	2
3	3	-1
-4	1	0
1	0	-1
0	0	-1
-2	-1	7
0	0	0
0	3	0
0	1	0
2	1	2
0	0	3
0	-2	0
-1	2	3
-1	0	0
1	1	-3
-1	0	-3
-1	-3	-1
-3	-2	0
0	0	-4
0	-2	0
0	0	0
3	1	5
0	3	0
8	-203	20
-6	76	13
-1	46	4
0	-59	4
-4	84	-3
-3	13	3
-3	-17	0
2	2	-3
-1	0	-3
4	-29	-7
-4	0	-51
-10	3	-99
-7	8	-114
-7	0	-134
-10	-1	-90
-1	-13	-12
-1	4	-3
0	0	-1
-1	-2	0
0	0	-1
0	6	0
0	1	0
-1	-6	1
-1	0	0
-3	-10	0
1	7	-1
-2	-7	8
0	-23	-3
0	7	-2
2	-29	-3
-3	-7	-5
-1	-5	2
0	27	-1
3	-2	1
2	-5	-3
1	1	1
-1	-2	-1
0	-1	0
0	-1	1
3	-1	1
1	1	1
1	6	-4
2	0	-1
-3	-6	0
0	-8	0
0	1	-1
-2	-2	0
2	0	-3
0	13	0
-2	-5	-1
0	0	-3
0	0	-1
1	-6	-1
-1	4	4
4	5	0
0	1	-1
-1	1	1
0	-1	-1
1	3	0
2	-2	-5
1	3	-1
0	0	-1
-2	0	3
1	1	-2
0	2	3
2	0	0
5	2	0
-1	-1	-5
-3	0	4
0	-2	1
-2	0	-3
-3	5	-2
3	1	3
0	0	0
-1	-1	0
0	1	-2
0	7	-3
2	-12	1
2	-1	59
6	-22	88
10	106	155
8	31	145
10	49	72
-5	-74	10
-5	15	-119
-9	-5	-137
-3	0	-44
0	-11	0
0	-4	2
2	5	0
3	-5	1
-2	-5	-33
-12	-2	-221
-28	24	-379
-17	-12	-302
-23	32	-295
-6	68	-257
-11	-92	-238
-19	69	-321
-8	-102	-259
-10	-49	-267
-17	-115	-328
-27	-169	-347
3	-129	-280
-6	-140	-335
-24	-102	-428
-23	-79	-539
-22	-38	-498
-23	9	-404
-15	-27	-381
-16	-14	-381
-18	-39	-444
-16	-6	-470
-26	-8	-570
-17	-12	-652
-24	-24	-608
-21	14	-424
-14	-6	-358
-8	-21	-361
-17	-11	-353
-20	-21	-454
-38	-29	-692
-22	-13	-661
-24	1	-499
-22	-7	-422
-18	-24	-452
-11	-16	-490
-22	0	-432
-15	6	-318
-14	3	-336
-29	-5	-563
-22	-12	-695
-41	-20	-719
-44	14	-748
-37	-22	-794
-28	0	-663
