0	0	0

230	110	3296
367	190	5475
473	246	6929
526	268	7894
551	295	8567
583	307	8984
615	321	9286
637	335	9449
654	327	9570
682	330	9661
692	334	9720
688	332	9762
684	325	9779
694	319	9818
684	319	9819
676	335	9833
659	343	9843
649	355	9849
643	354	9851
649	343	9858
653	345	9859
661	353	9874
672	352	9856
697	345	9870
691	345	9868
699	342	9845
698	342	9842
696	344	9845
694	339	9865
690	350	9871
671	350	9890
659	351	9872
665	345	9859
661	352	9851
698	349	9865
691	351	9857
697	361	9848
698	350	9871
705	342	9875
699	344	9874
685	353	9881
676	348	9893
665	344	9873
651	345	9854
663	348	9859
676	358	9836
684	354	9842
683	347	9830
688	341	9843
682	335	9830
676	345	9833
679	349	9839
679	352	9839
669	352	9843
668	359	9849
665	353	9866
663	354	9872
663	355	9871
666	348	9855
676	356	9858
687	346	9847
687	346	9843
701	344	9831
699	348	9834
688	347	9850
707	356	9845
676	350	9861
669	361	9875
659	363	9868
650	359	9867
656	354	9854
635	348	9863
590	356	9874
664	379	9842
677	343	9854
692	350	9832
724	354	9824
694	347	9869
692	366	9843
660	357	9857
662	360	9862
664	356	9862
680	353	9864
678	352	9843
681	349	9852
695	341	9848
693	340	9869
703	345	9858
692	347	9837
688	356	9856
669	371	9877
658	367	9870
665	362	9860
662	378	9874
671	368	9851
680	361	9841
681	356	9849
699	345	9837
698	343	9838
699	345	9845
701	351	9846
693	346	9875
703	345	9878
689	348	9869
673	349	9890
666	363	9880
661	362	9878
679	355	9888
693	348	9852
698	340	9856
696	338	9866
696	341	9861
692	347	9844
680	347	9854
679	364	9851
678	357	9850
676	353	9855
679	350	9846
680	342	9859
658	342	9849
657	342	9852
677	349	9836
706	339	9829
704	348	9820
686	330	9834
673	321	9834
678	326	9848
673	323	9832
655	345	9849
647	344	9851
648	335	9874
635	342	9877
635	342	9877
665	348	9849
681	347	9857
694	349	9848
698	346	9840
717	342	9863
714	344	9851
700	344	9860
684	343	9853
662	354	9832
659	345	9841
654	350	9847
655	338	9867
663	342	9869
684	336	9870
694	328	9861
701	325	9839
693	339	9829
688	332	9847
671	336	9836
668	345	9829
670	334	9827
655	321	9848
660	316	9853
652	319	9848
664	317	9860
677	332	9865
683	336	9859
690	351	9843
704	359	9843
706	376	9840
711	355	9853
706	331	9851
